Timestamp,Endpoint,Test Type,Location,Provider,Response Time (ms)
2025-12-28 22:01:31,"Frankfurt, DE [AWS] - PING",PING,"Frankfurt, DE",AWS,135
2025-12-28 22:01:31,"Singapore, SG [AWS] - HTTP",HTTP,"Singapore, SG",AWS,814
2025-12-28 22:01:31,"Jakarta, ID [AWS] - DNS",DNS,"Jakarta, ID",AWS,72
2025-12-28 22:01:31,"London, UK [AWS] - PING",PING,"London, UK",AWS,101
2025-12-28 22:01:31,"Milan, IT [AWS] - PING",PING,"Milan, IT",AWS,141
2025-12-28 22:01:31,"London, UK [AWS] - HTTP",HTTP,"London, UK",AWS,388
2025-12-28 22:01:31,"Tokyo, JP [AWS] - HTTP",HTTP,"Tokyo, JP",AWS,648
2025-12-28 22:01:31,"Seoul, KR [AWS] - DNS",DNS,"Seoul, KR",AWS,84
2025-12-28 22:01:31,"Seoul, KR [AWS] - PING",PING,"Seoul, KR",AWS,223
2025-12-28 22:01:31,"Seoul, KR [AWS] - HTTP",HTTP,"Seoul, KR",AWS,746
2025-12-28 22:01:31,"Osaka, JP [AWS] - DNS",DNS,"Osaka, JP",AWS,63
2025-12-28 22:01:31,"Osaka, JP [AWS] - PING",PING,"Osaka, JP",AWS,217
2025-12-28 22:01:31,"Osaka, JP [AWS] - HTTP",HTTP,"Osaka, JP",AWS,647
2025-12-28 22:01:31,"Sydney, AU [AWS] - DNS",DNS,"Sydney, AU",AWS,87
2025-12-28 22:01:31,"Sydney, AU [AWS] - PING",PING,"Sydney, AU",AWS,215
2025-12-28 22:01:31,"Sydney, AU [AWS] - HTTP",HTTP,"Sydney, AU",AWS,742
2025-12-28 22:01:31,"Melbourne, AU [AWS] - DNS",DNS,"Melbourne, AU",AWS,72
2025-12-28 22:01:31,"Melbourne, AU [AWS] - PING",PING,"Melbourne, AU",AWS,226
2025-12-28 22:01:31,"Melbourne, AU [AWS] - HTTP",HTTP,"Melbourne, AU",AWS,757
2025-12-28 22:01:31,"Ashburn, VA [AWS] - DNS",DNS,"Ashburn, VA",AWS,60
2025-12-28 22:01:31,"Ashburn, VA [AWS] - PING",PING,"Ashburn, VA",AWS,20
2025-12-28 22:01:31,"Ashburn, VA [AWS] - HTTP",HTTP,"Ashburn, VA",AWS,112
2025-12-28 22:01:31,"Columbus, OH [AWS] - DNS",DNS,"Columbus, OH",AWS,83
2025-12-28 22:01:31,"Columbus, OH [AWS] - PING",PING,"Columbus, OH",AWS,28
