2025-12-28 21:15:35 | [DOWN] Riyadh DNS (Saudi Arabia)                     | Type: ping | Response: 0ms | Error: Host unreachable
2025-12-28 21:15:59 | [UP] Router                                        | Type: ping | Response: 676ms
2025-12-28 21:15:57 | [DOWN] MA Connect Website                            | Type: http | Response: 0ms | Error: Get "https://maconnect.mastercard.com": dial tcp: lookup maconnect.mastercard.com: no such host
2025-12-28 21:15:57 | [UP] GitHub                                        | Type: http | Response: 18ms
2025-12-28 21:15:57 | [UP] Mastercard Website                            | Type: http | Response: 19ms
2025-12-28 21:15:57 | [UP] Home Router                                   | Type: http | Response: 40ms
2025-12-28 21:15:57 | [UP] Google                                        | Type: http | Response: 109ms
2025-12-28 21:15:57 | [UP] George Maddaloni Website                      | Type: http | Response: 246ms
2025-12-28 21:15:57 | [UP] San Jose DNS (California, USA)                | Type: dns | Response: 0ms
2025-12-28 21:15:57 | [UP] Tokyo DNS (Japan)                             | Type: dns | Response: 0ms
2025-12-28 21:15:57 | [UP] Frankfurt CDN (Germany)                       | Type: dns | Response: 0ms
2025-12-28 21:15:57 | [UP] Singapore CDN (Singapore)                     | Type: dns | Response: 0ms
2025-12-28 21:15:57 | [UP] Pune DNS (India)                              | Type: dns | Response: 3ms
2025-12-28 21:15:57 | [UP] Cape Town DNS (South Africa)                  | Type: dns | Response: 5ms
